777000239 	医学信息学
777000240 	植物生物技术
777000241 	动物生物技术
777000242 	生物资源科学
777000243 	生物安全
777000244 	生物医学英语
777000245 	地理科学
777000246 	自然地理与资源环境
777000247 	人文地理与城乡规划
777000248 	地理信息科学
777000249 	大气科学
777000250 	应用气象学
777000251 	海洋科学
777000252 	海洋技术
777000253 	资源环境与城乡规划管理
777000254 	地理信息系统
777000255 	海洋资源与环境
777000256 	军事海洋学
777000257 	地球物理学
777000258 	空间科学与技术
777000259 	地球与空间科学
777000260 	地质学
777000261 	地球化学
777000262 	地球信息科学与技术
777000263 	古生物学
777000264 	生物科学
777000265 	生物技术
777000266 	生物信息学
777000267 	海洋管理
777000268 	生态学
777000269 	海洋生物资源与环境
777000270 	心理学
777000271 	应用心理学
777000272 	统计学
777000273 	应用统计学
777000274 	微电子学
777000275 	光信息科学与技术
777000276 	科技防卫
777000277 	信息科学技术
777000278 	光电子技术科学
777000279 	地球环境科学
777000280 	系统理论
777000281 	系统科学与工程
777000282 	理论与应用力学
777000283 	工程力学
777000284 	煤及煤层气工程
777000285 	能源与资源工程
777000286 	机械工程
777000287 	机械设计制造及其自动化
777000288 	材料成型及控制工程
777000289 	机械电子工程
777000290 	工业设计
777000291 	过程装备与控制工程
777000292 	车辆工程
777000293 	汽车服务工程
777000294 	机械工艺技术
777000295 	微机电系统工程
777000296 	再生资源科学与技术
777000297 	机电技术教育
777000298 	稀土工程
777000299 	高分子材料加工工程
777000300 	汽车维修工程教育
777000301 	生物功能材料
777000302 	测控技术与仪器
777000303 	机械工程及自动化
777000304 	制造自动化与测控技术
777000305 	制造工程
777000306 	体育装备工程
777000307 	工程机械
777000308 	材料科学与工程
777000309 	材料物理
777000310 	电子信息技术及仪器
777000311 	材料化学
777000312 	冶金工程
777000313 	金属材料工程
777000314 	无机非金属材料工程
777000315 	高分子材料与工程
777000316 	复合材料与工程
777000317 	粉体材料科学与工程
777000318 	宝石及材料工艺学
777000319 	焊接技术与工程
777000320 	功能材料
777000321 	纳米材料与技术
777000322 	新能源材料与器件
777000323 	能源与动力工程
777000324 	热能与动力工程
777000325 	能源与环境系统工程
777000326 	新能源科学与工程
777000327 	能源工程及自动化
777000328 	能源动力系统及自动化
777000329 	风能与动力工程
777000330 	核技术
777000331 	辐射防护与环境工程
777000332 	核反应堆工程
777000333 	电气工程及其自动化
777000334 	智能电网信息工程
777000335 	光源与照明
777000336 	电气工程与智能控制
777000337 	电气工程与自动化
777000338 	影视艺术技术
777000339 	信息显示与光电技术
777000340 	光电信息工程
777000341 	电气信息工程
777000342 	计算机软件
777000343 	电力工程与管理
777000344 	微电子制造工程
777000345 	信息物理工程
777000346 	医疗器械工程
777000347 	医学影像工程
777000348 	真空电子技术
777000349 	信息与通信工程
777000350 	仿真科学与技术
777000351 	电机电器智能化
777000352 	传感网技术
777000353 	微电子材料与器件
777000354 	光电子材料与器件
777000355 	电子信息工程
777000356 	电子科学与技术
777000357 	城市规划
777000358 	通信工程
777000359 	微电子科学与工程
777000360 	建筑环境与设备工程
777000361 	光电信息科学与工程
777000362 	给水排水工程
777000363 	信息工程
777000364 	广播电视工程
777000365 	水声工程
777000366 	景观建筑设计
777000367 	电子封装技术
777000368 	建筑设施智能技术
777000369 	集成电路设计与集成系统
777000370 	医学信息工程
777000371 	电磁场与无线技术
777000372 	景观学
777000373 	电波传播与天线
777000374 	电子信息科学与技术
777000375 	总图设计与工业运输
777000376 	电信工程及管理
777000377 	建筑节能技术与工程
777000378 	应用电子技术教育
777000379 	自动化
777000380 	轨道交通信号与控制
777000381 	港口海岸及治河工程
777000382 	水资源与海洋工程
777000383 	计算机科学与技术
777000384 	软件工程
777000385 	网络工程
777000386 	信息安全
777000387 	物联网工程
777000388 	数字媒体技术
777000389 	智能科学与技术
777000390 	空间信息与数字技术
777000391 	电子与计算机工程
777000392 	土木工程
777000393 	建筑环境与能源应用工程
777000394 	给排水科学与工程
777000395 	建筑电气与智能化
777000396 	灾害防治工程
777000397 	城市地下空间工程
777000398 	环境监察
777000399 	道路桥梁与渡河工程
777000400 	雷电防护科学与技术
777000401 	核安全工程
777000402 	水利水电工程
777000403 	水文与水资源工程
777000404 	港口航道与海岸工程
777000405 	化工与制药
777000406 	水务工程
777000407 	资源科学与工程
777000408 	测绘工程
777000409 	遥感科学与技术
777000410 	导航工程
777000411 	地理国情监测
777000412 	交通设备信息工程
777000413 	交通建设与装备
777000414 	航空器适航技术
777000415 	交通信息与控制工程
777000416 	化学工程与工艺
777000417 	制药工程
777000418 	资源循环科学与工程
777000419 	能源化学工程
777000420 	化学工程与工业生物工程
777000421 	地质工程
777000422 	勘查技术与工程
777000423 	资源勘查工程
777000424 	地下水科学与工程
777000425 	轻工生物技术
777000426 	农产品质量与安全
777000427 	数字印刷
777000428 	植物资源工程
777000429 	采矿工程
777000430 	石油工程
777000431 	矿物加工工程
777000432 	油气储运工程
777000433 	矿物资源工程
777000434 	工程力学与航天航空工程
777000435 	海洋油气工程
777000436 	航天运输与控制
777000437 	质量与可靠性工程
777000438 	纺织工程
777000439 	武器系统与发射工程
777000440 	服装设计与工程
777000441 	非织造材料与工程
777000442 	特种能源工程与烟火技术
777000443 	服装设计与工艺教育
777000444 	地面武器机动工程
777000445 	轻化工程
777000446 	包装工程
777000447 	工程结构分析
777000448 	印刷工程
777000449 	交通运输
777000450 	交通工程
777000451 	航海技术
777000452 	轮机工程
777000453 	飞行技术
777000454 	交通设备与控制工程
777000455 	救助与打捞工程
777000456 	船舶电子电气工程
777000457 	船舶与海洋工程
777000458 	农业电气化与自动化
777000459 	海洋工程与技术
777000460 	海洋资源开发技术
777000461 	生物系统工程
777000462 	航空航天工程
777000463 	飞行器设计与工程
777000464 	飞行器制造工程
777000465 	飞行器动力工程
777000466 	飞行器环境与生命保障工程
777000467 	飞行器质量与可靠性
777000468 	飞行器适航技术
777000469 	武器系统与工程
777000470 	武器发射工程
777000471 	探测制导与控制技术
777000472 	弹药工程与爆炸技术
777000473 	特种能源技术与工程
777000474 	装甲车辆工程
777000475 	信息对抗技术
777000476 	核工程与核技术
777000477 	辐射防护与核安全
777000478 	工程物理
777000479 	核化工与核燃料工程
777000480 	农业工程
777000481 	农业机械化及其自动化
777000482 	农业电气化
777000483 	农业建筑环境与能源工程
777000484 	农业水利工程
777000485 	森林工程
777000486 	木材科学与工程
777000487 	林产化工
777000488 	环境科学与工程
777000489 	环境工程
777000490 	环境科学
777000491 	环境生态工程
777000492 	环保设备工程
777000493 	资源环境科学
777000494 	水质科学与技术
777000495 	生物医学工程
777000496 	假肢矫形工程
777000497 	食品科学与工程
777000498 	食品质量与安全
777000499 	粮食工程
777000500 	乳品工程
777000501 	酿酒工程
777000502 	葡萄与葡萄酒工程
777000503 	食品营养与检验教育
777000504 	烹饪与营养教育
777000505 	建筑学
777000506 	城乡规划
777000507 	风景园林
777000508 	历史建筑保护工程
777000509 	安全工程
777000510 	生物工程
777000511 	生物制药
777000512 	刑事科学技术
777000513 	消防工程
777000514 	交通管理工程
777000515 	安全防范工程
777000516 	公安视听技术
777000517 	抢险救援指挥与技术
777000518 	火灾勘查
777000519 	网络安全与执法
777000520 	核生化消防
777000521 	农学
777000522 	园艺
777000523 	植物保护
777000524 	植物科学与技术
777000525 	种子科学与工程
777000526 	设施农业科学与工程
777000527 	茶学
777000528 	烟草
777000529 	应用生物科学
777000530 	农艺教育
777000531 	园艺教育
777000532 	农业资源与环境
777000533 	野生动物与自然保护区管理
777000534 	水土保持与荒漠化防治
777000535 	动物科学
777000536 	森林资源保护与游憩
777000537 	蚕学
777000538 	蜂学
777000539 	动物医学
777000540 	动物药学
777000541 	动植物检疫
777000542 	林学
777000543 	园林
777000544 	森林保护
777000545 	水产养殖学
777000546 	海洋渔业科学与技术
777000547 	水族科学与技术
777000548 	草业科学
777000549 	基础医学
777000550 	临床医学
777000551 	卫生检验
777000552 	麻醉学
777000553 	医学影像学
777000554 	营养学
777000555 	眼视光医学
777000556 	精神医学
777000557 	放射医学
777000558 	口腔医学
777000559 	医学检验
777000560 	医学技术
777000561 	听力学
777000562 	医学实验学
777000563 	医学美容技术
777000564 	预防医学
777000565 	食品卫生与营养学
777000566 	口腔修复工艺学
777000567 	妇幼保健医学
777000568 	卫生监督
777000569 	全球健康学
777000570 	中医学
777000571 	针灸推拿学
777000572 	藏医学
777000573 	蒙医学
777000574 	维医学
777000575 	壮医学
777000576 	哈医学
777000577 	中西医临床医学
777000578 	药学
777000579 	药物制剂
777000580 	临床药学
777000581 	药事管理
777000582 	药物分析
777000583 	药物化学
777000584 	海洋药学
777000585 	中药学
777000586 	中药资源与开发
777000587 	藏药学
777000588 	蒙药学
777000589 	中药制药
777000590 	中草药栽培与鉴定
777000591 	应用药学
777000592 	法医学
777000593 	医学检验技术
777000594 	医学实验技术
777000595 	医学影像技术
777000596 	眼视光学
777000597 	康复治疗学
777000598 	口腔医学技术
777000599 	卫生检验与检疫
777000600 	听力与言语康复学
777000601 	护理学
777000602 	房地产经营管理
777000603 	产品质量工程
777000604 	项目管理
777000605 	管理科学与工程
777000606 	商品学
777000607 	特许经营管理
777000608 	连锁经营管理
777000609 	商务策划管理
777000610 	高等教育管理
777000611 	公共政策学
777000612 	公共管理
777000613 	国防教育与管理
777000614 	航运管理
777000615 	公共安全管理
777000616 	体育产业管理
777000617 	食品经济管理
777000618 	应急管理
777000619 	管理科学
777000620 	信息管理与信息系统
777000621 	工程管理
777000622 	房地产开发与管理
777000623 	工程造价
777000624 	保密管理
777000625 	工商管理
777000626 	市场营销
777000627 	会计学
777000628 	财务管理
777000629 	国际商务
777000630 	人力资源管理
777000631 	审计学
777000632 	资产评估
777000633 	物业管理
777000634 	文化产业管理
777000635 	劳动关系
777000636 	体育经济与管理
777000637 	财务会计教育
777000638 	市场营销教育
777000639 	农林经济管理
777000640 	农村区域发展
777000641 	公共事业管理
777000642 	行政管理
777000643 	劳动与社会保障
777000644 	土地资源管理
777000645 	城市管理
777000646 	海关管理
777000647 	交通管理
777000648 	海事管理
777000649 	公共关系学
777000650 	图书馆学
777000651 	档案学
777000652 	信息资源管理
777000653 	物流管理
777000654 	物流工程
777000655 	采购管理
777000656 	工业工程
777000657 	标准化工程
777000658 	质量管理工程
777000659 	电子商务
777000660 	电子商务及法律
777000661 	旅游管理
777000662 	酒店管理
777000663 	会展经济与管理
777000664 	旅游管理与服务教育
777000665 	艺术史论
777000666 	音乐表演
777000667 	音乐学
777000668 	作曲与作曲技术理论
777000669 	舞蹈表演
777000670 	舞蹈学
777000671 	舞蹈编导
777000672 	表演
