126	212001300	辽宁科技大学
126	212001300	辽宁科技
127	212000800	辽宁工程技术大学
127	212000800	辽宁工程技术
128	212001100	辽宁石油化工大学
128	212001100	辽宁石油化工
129	212002700	沈阳化工大学
129	212002700	沈阳化工
129	212002700	沈阳化工学院
130	212001200	大连交通大学
130	212001200	大连交通
130	212001200	大连铁道学院
131	212000300	大连海事大学
131	212000300	大连海事
131	212000300	大连海运学院
132	212001400	大连工业大学
132	212001400	大连工业
133	212001000	沈阳建筑大学
133	212001000	沈阳建筑
134	212001500	辽宁工业大学
134	212001500	辽宁工业
135	212001600	沈阳农业大学
135	212001600	沈阳农业
136	212003100	大连海洋大学
136	212003100	大连海洋
136	212003100	大连水产学院
137	212001700	中国医科大学
137	212001700	中国医科
137	212001700	中国工农红军卫生学校
138	212008100	锦州医科大学
138	212008100	锦州医科
139	212001800	大连医科大学
139	212001800	大连医科
139	212001800	大连医学院
140	212001900	辽宁中医药大学
140	212001900	辽宁中医药
141	212002000	沈阳药科大学
141	212002000	沈阳药科
142	212003300	沈阳医学院
143	212002100	辽宁师范大学
143	212002100	辽宁师范
144	212002200	沈阳师范大学
144	212002200	沈阳师范
145	212002300	渤海大学
146	212003400	鞍山师范学院
147	212004400	朝阳师范高等专科学校
148	212002400	东北财经大学
148	212002400	东北财经
148	212002400	东北财经学院
149	212002600	中国刑事警察学院
150	212003600	沈阳体育学院
151	212003800	沈阳音乐学院
152	212003700	鲁迅美术学院
153	212004500	抚顺师范高等专科学校
154	212004200	锦州师范高等专科学校
155	212005700	营口职业技术学院
156	212004300	铁岭师范高等专科学校
157	222000100	吉林大学
157	222000100	东北行政学院
157	222000100	东北人民大学
158	222000300	延边大学
159	222000600	长春理工大学
159	222000600	长春理工
159	222000600	长春光学精密机械学院
160	222001100	东北电力大学
160	222001100	东北电力
161	222000700	长春工业大学
161	222000700	长春工业
162	222001400	吉林化工学院
163	222000800	吉林农业大学
163	222000800	吉林农业
164	222000900	长春中医药大学
164	222000900	长春中医药
164	222000900	长春中医学院
165	222000200	东北师范大学
165	222000200	东北师范
166	222000400	北华大学
167	222002000	通化师范学院
168	222001000	吉林师范大学
168	222001000	吉林师范
169	222001900	吉林工程技术师范学院
169	222001900	吉林技工师范学院
170	222001800	白城师范学院
171	222002200	吉林财经大学
171	222002200	吉林财经
171	222002200	长春税务学院
172	222002400	吉林体育学院
173	222002500	吉林艺术学院
174	232000400	黑龙江大学
174	232000400	中国人民抗日军政大学第三分校俄文队
175	232000200	哈尔滨工业大学
175	232000200	哈尔滨工业
176	372000201	哈尔滨工业大学（威海）
177	232000700	哈尔滨理工大学
177	232000700	哈尔滨理工
178	132000300	燕山大学
179	232000300	哈尔滨工程大学
179	232000300	哈尔滨工程
179	232000300	中国人民解放军军事工程学院
180	232001400	东北石油大学
180	232001400	东北石油
180	232001400	大庆石油学院
181	232000500	佳木斯大学
182	232000900	黑龙江八一农垦大学
182	232000900	黑龙江八一农垦
183	232000800	东北农业大学
183	232000800	东北农业
183	232000800	东北农学院
184	232000100	东北林业大学
184	232000100	东北林业
185	232001000	哈尔滨医科大学
185	232001000	哈尔滨医科
186	232001100	黑龙江中医药大学
186	232001100	黑龙江中医药
187	232001800	牡丹江医学院
188	232001200	哈尔滨师范大学
188	232001200	哈尔滨师范
189	232000600	齐齐哈尔大学
189	232000600	齐齐哈尔
190	232002000	牡丹江师范学院
190	232002000	东北农学院嫩江分院
190	232002000	北安师范专科学校
190	232002000	“宁安师范专科学校
191	232001500	哈尔滨学院
192	232002100	大庆师范学院
193	232002300	绥化学院
194	232002700	齐齐哈尔高等师范专科学校
195	232001300	哈尔滨商业大学
195	232001300	哈尔滨商业
196	232002200	哈尔滨体育学院
197	232003000	哈尔滨金融学院
198	312000100	复旦大学
199	312000200	同济大学
200	312000301	上海交通大学医学院
201	312000300	上海交通大学
201	312000300	上海交通
202	312000400	华东理工大学
202	312000400	华东理工
203	312001000	上海理工大学
203	312001000	上海理工
204	312001100	上海海事大学
204	312001100	上海海事
205	312000500	东华大学
205	312000500	中国纺织大学
206	312002000	上海电力学院
207	312002100	上海应用技术大学
207	312002100	上海应用技术
208	312003200	上海医疗器械高等专科学校
209	312001300	上海海洋大学
209	312001300	上海海洋
209	312001300	上海水产大学
210	312001400	上海中医药大学
210	312001400	上海中医药
211	312000600	华东师范大学
211	312000600	华东师范
212	312001500	上海师范大学
212	312001500	上海师范
213	312000700	上海外国语大学
213	312000700	上海外国语
214	312000800	上海财经大学
214	312000800	上海财经
215	312001700	上海海关学院
216	317000100	上海旅游高等专科学校
216	317000100	上海旅游专科学校
217	312001600	华东政法大学
217	312001600	华东政法
